Goring,Goreing
Brandfill,Branfill;Bramfill
Shears,Sheares
Boylston,Boylstone
Wybourne,Wyburne;Wyborne;Wyborn
Bailey,Baily;Bayley;Bayly;Baylye
Brown,Browne
Cleave,Cleeve
Crosbie,Crosby
Cunduitt,Cunduit;Cunditte
Ratcliff,Ratcliffe;Ratclifte;Ratclift;Ratclif
Burrows,Burrowes;Burrow's;
Loyton,Layton
