Asirifi,Ashrevy;Asherry
Yankey,Yanky;Yanke;Yankee
Tickadoe,Tickadow;Tickado
Bracon,Abracon;Brackon
Taggee,Takyi;Tagge
Cabess,Cabbess;Cabesse;Cabes
Quashe,Quashee
Quansa,Quansaw
Ataquo,Ataquoe;Attaquo
Ansa,Ahenesa;Ahenesah;Ahenessa;Ahenesaw;Ahenisah;Ahenneshans
Basua,Bonisha;Bonishee;
