allejar,alejar
arm,arme
baft,
bar,barr;barre
blanket,blankett
brawl,brawle
chercolee,charcolee
chint,
clout,
gingham,
gun,gunn
jug,jugg;juge
kettle,kittle
longee,
musket,muskett;muskitt
niconee,nicconee;niccanee;niconee
pan,pann
pautkey,
perpetuano,perpetuanoe;perpettuanoe;perpettuano
phota longee,
pintadoe,
plain,plaine;playne
rango,rangoe
satin,sattin
sheete,sheete;
tapseil,tapsell;tapsele;tapseile
